Username,User Age,User Skin Condition,Recommendation Status,Usage Period,Purchase Point,Product Brand,Product Name,Product Rating,Total Users Rated,User Review
Hannanazima, 19 - 24,"Combination, Medium Light, Neutral",Hannanazima recommends this product!,1 week - 1 month,PR Package,The Body Culture,Sweet Macaron Lip Balm,4.9,15,sebagai team yang punya bibir super super kering happy banget nemuin prodak ini karna selain bikin bibir lembab lip balm ini bisa mengembalikan warna asli bibir kita. mantapp bgt. dengan packaging yang lucu dan aroma nya juga enak bgt bener2 seperti macaroon asli dipake ... 
krisnat, 19 - 24,"Oily, Medium Light, Neutral",krisnat doesn't recommend this product!,More than 1 year,Shopee,VAL by Valerie Thomas,VAL Matte Lip Cream,3,1,Pas dapet packaging nya cantik. Dan sejujurannya warnanya pigmented dan cantik banget. Wanginya enak banget kayak wangi boba. Sayangnya aku kurang suka dengan formulanya matte tapi rada lengket gitu dan juga produk ini tidak begitu transferproof.
NabilaMaulydia, 18 and Under,"Combination, Medium, Neutral",NabilaMaulydia recommends this product!,Less than 1 week,Lazada,Trueve ,Niacinamide 10% & Ceramide Brightening Serum ,4.9,894,sumpahhh bekas jerawat gw yang aslinya dari dulu susah ilang terus pake ini mudar dong gengs udah gitu memperbaiki kulit gw yg awalnya bnr bnr ga rata gradakan bgt jd kenyal dan halus gitu lho bener bener mantul dehh jadi pengen coba yg lain lagi
nurulutmi, 25 - 29,"Oily, Medium, Neutral",nurulutmi recommends this product!,More than 1 year,Shopee,Safi,White Expert Illuminating Day Cream SPF15 PA++,3.5,433,"Pake ini udah sekitar 2 tahun, dan oke. Perubahan signifikan juga engga sih. Lebih ke buat melembabkan aja sih yah kalo di gue. Di gue sih ga ada efek apa apa. Setiap wajah pasti beda beda kan. Recomend untuk pemula yang mau pake skincare mending pake ini deh"
raisyay, 18 and Under,"Oily, Medium Light, Neutral",raisyay recommends this product!,More than 1 year,Alfamart,Marina,Fresh Sparkle Eau de Toilette,4.6,191,"aromanya aku suka banget inii pliss, bikin seger banget, aromanya lumayan strong si menurut ku tapi aku klo mau pergi paling sering makai ini, because aromanya kebangetan enaknya huhu, but now ini udh abis bakal aku beli lagi hehe, this is good product, dicoba ya!"
juaaa13, 18 and Under,"Combination, Light, Neutral",juaaa13 recommends this product!,3 months - 6 months,Shopee,Benton,Aloe Propolis Soothing Gel,4.3,659,"ak sempet punya beruntusan yg mendekati fungal acne, tapi bukan fungal acne putus asa ga tau mau pake skincare apa, si benton ini nolong banget buat kulit yg lgi bermasalah propolis ny ngebantu banget, dan ekstra lemon ny udah abis tube ke 2, syg ny PAO ny cuman 6 bulan ... "
Haningrum_Rossa, 19 - 24,"Combination, Medium Dark, Warm",Haningrum_Rossa recommends this product!,1 month - 3 months,Shopee,AVOSKIN,Hydrating Treatment Essence,3.9,553,"Pertama kali waktu dateng tuh suka banget sama kemasannya, terkesan mewah gitu hihi. Sensasi pertama kali pake tuh dingin ya mungkin karena ada kandungan pappermintnya. Diaku lumayan ngelembabin ya tapi karena ada kandungan alkoholnya kalo dipake waktu kulit lagi kering ... "
Rr_Asfarina02, 25 - 29,"Combination, Medium Light, Neutral",Rr_Asfarina02 recommends this product!,3 months - 6 months,Brand website,Innisfree,Super Volcanic Pore Clay Mask,4.1,3021,"Masker yg bertekstur cream padat tapi mudah diblend pada wajah. Aku ngerasa ini sesuai klaimnya. Wajah jadi bersih, dia juga bisa mengkontrol minyak berlebih membuat pori"" serasa mengecil. Aku pakai rutin Innisfree ini seminggu 2x terkadang aku pakai 3x kalo pas kea ... "
sendyfenita, 18 and Under,"Normal, Medium Light, Neutral",sendyfenita recommends this product!,Less than 1 week,Lazada,Maybelline,Clear Smooth All in One,3.5,314,"Teksturnya smooth, medium coverage, bikin wajah cerah, nahan minyak, dan awet. Hasil akhir bedak padat ini natural, halus dan nggak cakey. Bedak ini juga sudah dilengkapi dengan kaca, serta ada kemasan refill. Packaging nya bagus banget rose gold."
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 week - 1 month,Shopee,Senka,Perfect Whip Facial Foam,4,4312,"GA NGERTI LAGI INI BAGUS BANGET!!!!!! dia dikulit aku yg oily skin bener"" membersihkan dg bersih, foamnya lembut, wanginya seger, dan feel after pakenya itu lembab! keren gasi padahal foamnya banyak banget tapi masih tetap lembab. bagusnya, di kulit aku dia ga bikin ... "
Kellyaliandra,18 and Under,,Kellyaliandra recommends this product!,Less than 1 week,Instagram,Pond's,Vitamin Duo Sheet Mask,4.6,23,Pertama kali cobain masker ini karena warna2 nya lucu. Ternyata kandungannya juga bagus banget untuk kulit muka. Akhirnya jadi coba semua varian deh. Ini salah satu yang wangi nya enak banget dan bagus di kulit wajah
Kellyaliandra,18 and Under,,Kellyaliandra recommends this product!,Less than 1 week,Instagram,Pond's,Vitamin Duo Sheet Mask,4.5,30,"Wangi banget masket ini, fungsi nya juga bagus untuk bikin muka kita tetep awet muda. Pecinta masker harus coba pake ini, pasti ketagihan dan pengen pake lagi untuk lebih rutin agar hasil optimal semakin"
Kellyaliandra,18 and Under,,Kellyaliandra recommends this product!,Less than 1 week,Instagram,Pond's,Vitamin Duo Sheet Mask,4.7,36,Udah coba semua varian ponds sheet mask. Overall ini yang paling aku suka karena kulit mukaku normal. Dengan menggunakan masker yang memiliki kandungan vit C membuat wajahku semakin glowing dan cerah alami 
Mariapusuma,25 - 29,,Mariapusuma recommends this product!,Less than 1 week,Shopee,N'pure,Cica Clear Pad,4.9,28,"Mau proses exfoliating gak pake ribet? Cobain deh produk N'PURE Cica Clear Pad. Kulitku itu jenis kulit kering dan kusam, nah setelah pakai produk ini wajah jadi lebih cerah dan bekas jerawat memudar."
istiqomah15, 19 - 24,"Dry, Medium Light, Warm",istiqomah15 doesn't recommend this product!,1 week - 1 month,Shopee,Kleveru Organics,Sea Buckhtorn Cleansing Gel,4.4,205,"dengan amat menyesal, aku tidak cocok dengan sabun ini. padahal kalau aku pakai tu lembab dan tidak ketarik meski dia memiliki busa yang sedikit. di aku lama2 jadi bruntusan kecil2 :( so sad, padahal niat hati kalau cocok bisa gonta ganti sama cetaphil."
dhea24taurus,18 and Under,,dhea24taurus recommends this product!,Less than 1 week,FD Try and Review,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,426,"Wah sebagus ini sunscreen baru pertama kali hasil nya sudah lumayan banget bagus buat aku , dan buat kalian jangan sampe ketinggalan untuk make produk ini karna sudah Vpom ya gais satu lagi sudah aman "
delmilingga, 25 - 29,"Combination, Medium, Neutral",delmilingga recommends this product!,1 month - 3 months,Instagram,MS Glow,Whitening gold serum,4.4,12,"Nah ini juga serum yang paling bagus untuk mencerahkan warna kulit. Kualitas sesuai harga dong. Fungsinya untuk menyamarkan flek hitam, noda di wajah, menguatkan skin barrier dan juga mencerahkan kulit pastinya. Sebagus itu dalam hal mencerahkan. Dulu aku pakai bersamaa ... "
salsabilazka, 19 - 24,"Combination, Medium, Warm",salsabilazka doesn't recommend this product!,Less than 1 week,Gift,Dove,SUPER Shampoo 3 IN 1,4.1,69,"Sebenernya tertarik bgt karena 3in1, tapi sayangnya bikin rambut keset dan busanya juga dikit, jadi bikin rambut singaku yang kering jadi semakin kering, di aku harus banget pake conditioner sehabis pake shampoo ini. Mungkin shampoo ini oke bgt untuk rambut yang lepek.  ... "
bungaseptiana,19 - 24,,bungaseptiana recommends this product!,Less than 1 week,Instagram,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,425,"yeayyy akhirnya omg nemu juga sunscreen yang gampang diaplikasiin dan ringan untuk dipakai sehari hari, terus juga kandungannya bahan bahan alami, ahhh beneran bagus banget wajib banget coba!! kalo abis ini mah bakal beli lagi sumpah🥺❤️"
angelineyoshiko, 25 - 29,"Combination, Light, Neutral",angelineyoshiko recommends this product!,1 week - 1 month,Shopee,Everwhite,Peptide Eye Cream Gel ,4.9,57,eye cream yang ampuh banget buat mengurangi mata panda sesuka itu sama produk everwhite peptide eye creamm karena hobi aku begadang jadi eye cream ini holy grail banget membantu mengurangi hitam akibat mata panda yang menganggu banget dijamin g nyesel
Muthiarachoirunnisa, 30 - 34,"Normal, Medium Light, Neutral",Muthiarachoirunnisa recommends this product!,More than 1 year,FD Try and Review,Azarine Cosmetics,Anti Acne & Brightening Serum,4.8,256,"sekeren ini serum anti acne dari azarine,mempunyai duo action yaitu untuk mengatasi kulit berjerawat dan mencerahkan kulit.pokoknya aku cinta banget sama serum ini,bakalan repeat order lagi dan lagi.. gk bakalan nyesel deh pakek serum anti acne dari azarine ini 😍😍😍❤️"
rizmadiaz09, 19 - 24,"Combination, Medium Light, Neutral",rizmadiaz09 recommends this product!,6 months - 1 year,Shopee,Hada Labo,Gokujyun Ultimate Moisturizing Lotion,4.4,4524,"Sudah hampir 1 tahun pakai produk ini, dan ga perlu diragukan lagi karena secocok itu di kulitku. Dia 2x lebih melembabkan dan ga bikin cepet kering, kulit jadi halus ga kayak ketarik gitu, sampai detik ini belum menemukan hydrating toner senyaman ini ❤️❤️"
Nandahm, 19 - 24,"Combination, Light, Cool",Nandahm doesn't recommend this product!,1 week - 1 month,Shopee,Falabelle,Tamanu Oil ,4.2,115,"beli yang travel size, awal awal pake , oke lah gak ada apa2 gak terlalu ngaruh juga buat bekas jerawat. terus 2 mingguan aku gak pake, eh 2 hari yang lalu aku pake ditotol ke area pipi sama dagu muncul ruam merah gatel dan perih. sampai saat ini masih ada kemerahan nya ... "
yundiramr, 19 - 24,"Dry, Light, Warm",yundiramr recommends this product!,1 month - 3 months,Sephora,Laneige,Cica Sleeping Mask,4.1,419,"Gimana ya bingungg soalnya dia ngematengin jerawat bukan ngempesin, sebenernya bagus sih klo dibagian yg gaada jerawat bikin glowing, tapi dibagian yg ada jerawat, jerawatnya dimatengin bukan dikempesin. jadi agak gasuka pengennya yg ngempesin aja bukan matengin😭🔪"
Rr_Asfarina02, 25 - 29,"Combination, Medium Light, Neutral",Rr_Asfarina02 doesn't recommend this product!,3 months - 6 months,Brand website,Innisfree,Perfect UV Protection Cream Long Lasting SPF 50+ PA+++ for Oily Skin,4,96,Spf yg bertekstur cream lumayan padat. Menurutku ini berat di kulit yg oily dan bikin gerah. Apalagi kalo dipakai diluar ruangan bikin makeup jadi gampang ambyar karna wajah mudah berkeringat dan dia nimbulin warna putih di wajah. Repurce? NO💔
Hanizaharani, 25 - 29,"Oily, Medium Light, Neutral",Hanizaharani recommends this product!,1 week - 1 month,FD Try and Review,Erha ,Acneact Acne Back Spray,4.4,130,"Awalnya aku bingung mau pake ini dimana krn aku nggak ada jerawat punggung, terus baru sadar ternyata aku ada jerawat di leher. Jadi aku uji cobain produk ini di leher aku. Cara pakainya aku semprot di tangan dan aku tap tap di leher. FYI jerawat yang ada di leher ini c ... "
adistaoctavia, 25 - 29,"Combination, Medium Light, Neutral",adistaoctavia recommends this product!,Less than 1 week,Gift,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,424,"Sukaaa bangeeeet, teksturnya yg lembut kalau di aplikasiin di wajah, adem dan wangi jugaa, aaah sukaa deh pokoknya yg pasti gak bikin muka aku jadi oily meskipun sudah pemakaian hampir 3 jam, love banget."
divaaurah_, 19 - 24,"Oily, Medium, Neutral",divaaurah_ recommends this product!,1 month - 3 months,Indomaret,Pond's,Vitamin Micellar Water,4.6,3843,"Suka banget pake micellar water ini karena ga bikin muka oily dan 100% no alcohol, ada kandungan 5 vitamin yg bisa menutrisi kulit aku juga, ga perih juga waktu bersihin eye make up, bisa bersihin make up dan kotoran yang menempel di wajah aku"
salsabilazka, 19 - 24,"Combination, Medium, Warm",salsabilazka recommends this product!,Less than 1 week,Gift,Dove,1 Minute Super Conditioner,4.1,48,"Sukaa bgt! Rambutku yang semula kueringg kusut jadi lembut dan haluss, lembutnya dan wanginya juga lumayan tahan lama, ngga cuma beberapa jam setelah keramas aja. Pemakaiannya juga praktis, ga lama lama cuma satu menit! Kalo untuk hair fall treatmentnya belum kerasa, mu ... "
delmilingga, 25 - 29,"Combination, Medium, Neutral",delmilingga recommends this product!,1 month - 3 months,Facebook,MS Glow,Cactus & Grape Seed Antioksidan Juice,5,3,"Selain aku pakai Charcoal pore clay mask dari MS glow, aku juga pakai mosturizer ini. Fungsinya untuk anti oksidan dan digunakan saat wajah ada noda atau flek hitam. Hasilnya bagus di wajahku. Isinya ada 15 gr dan harganya lumayanlah😁masih bisa dijangkau. Untuk efeknya ... "
indirafhanum, 25 - 29,"Oily, Medium Light, Neutral",indirafhanum recommends this product!,1 week - 1 month,Watson,Mineral Botanica,Hydra Lip and Cheek Tint,4.6,53,"Produk ini underrated banget, padahal sebagus itu lho!!! Teskturnya creamy otomatis ga bikin bibir kering, feel ketika digunakan juga nyaman dan glides on really smooth. Warnanya CAKEP POL, brownish nude dengan hint orange yang bikin effect polished tapi nggak over. Bia ... "
Hanizaharani, 25 - 29,"Oily, Medium Light, Neutral",Hanizaharani recommends this product!,1 week - 1 month,FD Try and Review,Erha ,Acneact Gentle Acne Moisturizer,4.2,63,"Pertama tama teksturnya gel-cream, lumayan mudah di ratakan, tapi cukup bikin gerah dan cukup berat di muka aku. ada sensasi kaya sumuk/gerah di awal pemakaian, tapi setelah aku amati lagi beberapa hari, rasa gerahnya cuma muncul pas awal-awal pemakaian, lama-lama dia b ... "
Greyhoneydew, 25 - 29,"Combination, Medium Light, Neutral",Greyhoneydew recommends this product!,More than 1 year,Shopee,L'Oreal Paris,UV Perfect Matte & Fresh Long UV SPF 50/ PA++++,4,3114,"dikulit kombinasi oily ku, yang matte ini malah jadi greassy di aku, ntah kenapa pakai ini jadi bikin kulitku gerah, tapi gak bikin makeup keki sih. so far good dan masih bisa masuk di aku. kalau kulit normal sepertinya lebih baik hasilnya ya"
asharinaj96, 19 - 24,"Combination, Medium Light, Neutral",asharinaj96 recommends this product!,1 week - 1 month,Brand website,Azarine Cosmetics,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,425,"first time aku nyobain sunscreen dari azarine ini bener2 takjub karena dia itu mirip gel dan cepet meresap. Beda dengan sunscreen lainnya, si azarine ini sangat ringan, adem rasanya saat di aplikasikan dan tidak meninggalkan whitecast. no oily2 club ❤. Spf 45 pa ++++ it ... "
cacaxxxfzhr_, 18 and Under,"Dry, Medium Light, Neutral",cacaxxxfzhr_ recommends this product!,3 months - 6 months,Shopee,Cosrx,Low pH Good Morning Gel Cleanser,4.2,2972,"bagusss bgt, ga bikin ketarikk, wanginya emg nyengat tp gapapa masi bisa di toleran wkwk. tp lama” lumayan bkin kering (DIKIT BGT KERASANYAA) soalnya aku ga pake sesuatu yg khusus buat ngemoist huhuuu. tp buat kalian yg bingung cari fw, ini recommended sihh"
rara0309,18 and Under,,rara0309 recommends this product!,More than 1 year,shoope,SOLCARE,Lovalip Care,5,69,Ahhh suka bangetttt sama lovalip lip serum iniii ga ngertii lagiiii kerenn bgtf suka bggt bibir akuu jd makin pinkkkk se sukaaa ituuu apalagi klo abis dipakein ke bibir . bibir langsung pinko merona sehat 
Greyhoneydew, 25 - 29,"Combination, Medium Light, Neutral",Greyhoneydew recommends this product!,More than 1 year,Shopee,Viva Cosmetics,Face Tonic,4.1,3204,"toner paling cocok dan muraaahhhhh, stok banyak2 tetap dipakai karena cocok bolak balik nyobain yang lain tetap balik lagi ke viva greentea. kayak udah klop aja gitu sama produk ini. aku pakai susu pembersihnya juga yang greentea, bikin kulit bersih dan kenyal"
lanovcathugger, 30 - 34,"Normal, Medium Dark, Warm",lanovcathugger recommends this product!,Less than 1 week,Shopee,Azarine Cosmetics,Anti Acne & Brightening Serum,4.8,255,Serum yg terjangkau tp punya manfaat yg ga main2. Ak suka jg teksture produknya yg ga bkin greasy. Jrawat n kmerahan berangsur-angsur membaik pake serum ini. Kndungan centella dan niacinamide nya bkin jrwat brkurang dan kulitnpun jd lbh cerah! Cuss coba guys
cacaxxxfzhr_, 18 and Under,"Dry, Medium Light, Neutral",cacaxxxfzhr_ recommends this product!,1 month - 3 months,Shopee,Cetaphil,Gentle Skin Cleanser,4.1,12350,"aku rekomendasiin ke yang bingung bgt mau pake fw apa. soalnya fw ini gentle bgt berasa ga pake apa” tapi bersih gt. bkin muka jadi lebih mendingan aja gt sih, tp setelah muka ku mendingan, aku ganti ke fw lain🥰. overall ini bagussss tp gada efek yg signifikan but it’s ... "
Greyhoneydew, 25 - 29,"Combination, Medium Light, Neutral",Greyhoneydew recommends this product!,More than 1 year,Shopee,Garnier,Micellar Oil-Infused Cleansing Water,4.3,4119,"kalau mau beli cleansing oil ya cukup ini dah, dishopee banyak promo pokoknya, beli buat stok lumayan banget. hasilnya dimakeup waterproof mantap bangeet, udah gamau pilih yang lain rasanya ini udah cukup kalau di aku. btw kulitku kombinasi oily ya."
Ozkabiardna, 19 - 24,"Dry, Light, Neutral",Ozkabiardna recommends this product!,More than 1 year,Guardian,Sebamed,Lip Care Stick SPF 30,4.2,602,"moisturizer my lips verry well, lipbalm fav kedua aku setelah sensatia.. dia bikin bibir lembut sama lembab seharian sih.. lipbalm yang ga neko-neko terus enaknya dia ada spf jadi bisa protect my lips dari cahaya matahari alias sibar uv ☀️☀️"
indahpuspita57, 19 - 24,"Combination, Medium Dark, Neutral",indahpuspita57 recommends this product!,1 week - 1 month,Brand website,Carasun,Solar Smart UV Protector SPF45 PA++++,4.9,11,"Aku suka sama teksturnya yang kaya whipped cream, ringan bener-bener kaya awan. Gampang diblend. Ga ada whitecast sama sekali. Aku lebih suka make ss ini buat reapply. Sejauh ini ga ada efek yang gimana-gimana di muka aku"
